recipeSlug,recipeTitle,stepNumber,before,after
pastirmali-kuru-domatesli-yumurta-kayseri-usulu,"Pastırmalı Kuru Domatesli Yumurta",2,"Kuru domatesi doğrayın, Pastırmalı Kuru Domatesli Yumurta için hazır tutun.","Kuru domatesi doğrayın, hazır tutun."
misolu-yumurtali-pirinc-kase-japon-usulu,"Misolu Yumurtalı Pirinç Kase",2,"Misoyu suda açın, Misolu Yumurtalı Pirinç Kase için hazır tutun.","Misoyu suda açın, hazır tutun."
sopa-de-lima,"Sopa de Lima",5,"Tortilla şeritlerini ayrı tavada 3 dakika kızartın, sopa de lima için ölçü şaşmasın.","Tortilla şeritlerini ayrı tavada 3 dakika kızartın, ölçü şaşmasın."
misirli-pazili-tava-ekmegi-rize-usulu,"Mısırlı Pazılı Tava Ekmeği",2,"Pazıyı ince doğrayın, Mısırlı Pazılı Tava Ekmeği için hazır tutun.","Pazıyı ince doğrayın, hazır tutun."
lorlu-biber-kavurmasi,"Lorlu Biber Kavurması",2,"Biberleri ince doğrayın, Lorlu Biber Kavurması için hazır tutun.","Biberleri ince doğrayın, hazır tutun."
pea-and-mint-soup-ingiliz-yaz-usulu,"Pea and Mint Soup",2,"Soğanı orta ateşte 4 dakika çevirin, pea and mint soup tabanı çiğ kalmasın.","Soğanı orta ateşte 4 dakika çevirin, taban çiğ kalmasın."
kuru-domatesli-gozleme-aydin-usulu,"Kuru Domatesli Gözleme",3,"Hamuru yoğurup dinlendirin, Kuru Domatesli Gözleme için hazır tutun.","Hamuru yoğurup dinlendirin, hazır tutun."
pirasali-patates-bulyon-ingiltere-usulu,"Pırasalı Patates Bulyon",2,"Pırasayı orta ateşte 4 dakika çevirin, pırasalı patates bulyon için ölçü şaşmasın.","Pırasayı orta ateşte 4 dakika çevirin, ölçü şaşmasın."
tahinli-muzlu-irmik-kasesi-alanya-usulu,"Tahinli Muzlu İrmik Kasesi",3,"İrmiği sütle koyulaştırın, Tahinli Muzlu İrmik Kasesi için hazır tutun.","İrmiği sütle koyulaştırın, hazır tutun."
sweet-corn-chowder-amerikan-usulu,"Sweet Corn Chowder",2,"Soğanı orta ateşte 4 dakika çevirin, sweet corn chowder tabanı çiğ kalmasın.","Soğanı orta ateşte 4 dakika çevirin, taban çiğ kalmasın."
kete-kirigi-tava-ardahan-usulu,"Ardahan Kete Kırığı Tava",2,"Keteyi iri parçalayın, Ardahan Kete Kırığı Tava için hazır tutun.","Keteyi iri parçalayın, hazır tutun."
otlu-peynirli-tandir-boregi-van-usulu,"Otlu Peynirli Tandır Böreği",2,"Hamuru yoğurup dinlendirin, Otlu Peynirli Tandır Böreği için hazır tutun.","Hamuru yoğurup dinlendirin, hazır tutun."
lorlu-zeytinli-katmer-izmir-usulu,"Lorlu Zeytinli Katmer",3,"Hamuru yoğurup dinlendirin, Lorlu Zeytinli Katmer için hazır tutun.","Hamuru yoğurup dinlendirin, hazır tutun."
pastirmali-biberli-yumurta-ekmegi-kayseri-usulu,"Pastırmalı Biberli Yumurta Ekmeği",3,"Yumurta karışımını hazırlayın, Pastırmalı Biberli Yumurta Ekmeği için hazır tutun.","Yumurta karışımını hazırlayın, hazır tutun."
limon-myrtle-avokado-toast-avustralya-usulu,"Limon Myrtle Avokado Toast",4,"Avokadoyu baharatlarla ezin, Limon Myrtle Avokado Toast için hazır tutun.","Avokadoyu baharatlarla ezin, hazır tutun."
sopa-de-frijoles-negros-kuba-usulu,"Sopa de Frijoles Negros",1,"Siyah fasulyeyi süzün, soğan ve biberi küçük doğrayın, sopa de frijoles negros için ölçü şaşmasın.","Siyah fasulyeyi süzün, soğan ve biberi küçük doğrayın, ölçü şaşmasın."
otlu-lorlu-kete-artvin-usulu,"Otlu Lorlu Kete",3,"Hamuru yoğurup dinlendirin, Otlu Lorlu Kete için hazır tutun.","Hamuru yoğurup dinlendirin, hazır tutun."
kuru-biberli-lorlu-bazlama-sirnak-usulu,"Şırnak Kuru Biberli Lorlu Bazlama",3,"Biberi lorla karıştırın, Şırnak Kuru Biberli Lorlu Bazlama için hazır tutun.","Biberi lorla karıştırın, hazır tutun."
laz-otlu-tava-boregi-artvin-usulu,"Laz Otlu Tava Böreği",2,"İç harcı karıştırın, Laz Otlu Tava Böreği için hazır tutun.","İç harcı karıştırın, hazır tutun."
laz-otlu-tava-boregi-artvin-usulu,"Laz Otlu Tava Böreği",3,"Yufkaları harçla kapatın, Laz Otlu Tava Böreği için hazır tutun.","Yufkaları harçla kapatın, hazır tutun."
patatesli-gozleme-yozgat-usulu,"Yozgat Patatesli Gözleme",2,"Patatesleri haşlayıp ezin, Yozgat Patatesli Gözleme için hazır tutun.","Patatesleri haşlayıp ezin, hazır tutun."
melbourne-pancar-avokado-tostu,"Melbourne Pancar Avokado Tostu",3,"Ekmek dilimlerini kızartın, Melbourne Pancar Avokado Tostu için hazır tutun.","Ekmek dilimlerini kızartın, hazır tutun."
susurluk-ayran-asi-balikesir-usulu,"Balıkesir Susurluk Ayran Aşı",1,"Yoğurt ve suyu pürüzsüz çırpın, balıkesir susurluk ayran aşı için ölçü şaşmasın.","Yoğurt ve suyu pürüzsüz çırpın, ölçü şaşmasın."
sopa-de-tortilla-meksika-usulu,"Sopa de Tortilla",4,"Tortilla şeritlerini ayrı tavada 3 dakika kızartın, sopa de tortilla için ölçü şaşmasın.","Tortilla şeritlerini ayrı tavada 3 dakika kızartın, ölçü şaşmasın."
mercimekli-domatesli-shorba-hindistan-usulu,"Mercimekli Domatesli Shorba",2,"Yarım çay kaşığı kimyonu 30 saniye yağda çevirin, mercimekli domatesli shorba için ölçü şaşmasın.","Yarım çay kaşığı kimyonu 30 saniye yağda çevirin, ölçü şaşmasın."
mercimekli-domatesli-shorba-hindistan-usulu,"Mercimekli Domatesli Shorba",5,"Tuzunu ayarlayıp sıcak servis edin, mercimekli domatesli shorba için ölçü şaşmasın.","Tuzunu ayarlayıp sıcak servis edin, ölçü şaşmasın."