recipeSlug,stepNumber,extractedText,newTimerSeconds,instruction
yaglama-corbasi-kayseri-usulu,4,"30 saniye",30,"Tavayı kuru ısıtıp her yufkayı 30 saniye iki yüzlü pişirin (kurumadan, esnek kalsın)."
ezogelin-corbasi,1,"1 dk",60,"Soğanı tereyağında kavurun. Salçaları ekleyip 1 dk kavurun."
narli-bulgur-kofte-kasesi-adiyaman-usulu,6,"5 dakika",300,"Bulgur köftelerini süzdükten sonra 5 dakika ılıtın, sıcak köfte yeşillikleri soldurmasın."
su-boregi,4,"30-40 saniye",35,"Geniş bir tencerede bol suyu kaynatın, 1 yemek kaşığı tuz atın. Yanına soğuk su dolu büyük bir kap hazırlayın. Yufkaları teker teker kaynar suda 30-40 saniye haşlayın, hemen soğuk suya alın, sonra temiz beze yayın. En alt ve en üst yufkayı haşlamadan kuru kalın."
salcali-yarma-corbasi-batman-usulu,4,"1 dakika",60,"Süzülmüş yarmayı ekleyip 1 dakika çevirin; 5 su bardağı sıcak su ve tuzu ilave edin."
peynirli-semizotu-salatasi-tekirdag-usulu,1,"2 dakika",120,"Semizotunu ayıklayıp temiz havluda 2 dakika kurutun, yapraklar sulanmasın diye tamamen kurutun."
taze-kekikli-lorlu-omlet-ege-usulu,3,"30 saniye",30,"Yumurta karışımına kekik, nane ve dereotunu katıp 30 saniye daha çırpın; lor peynirini eklemeden bekletin."
su-boregi-erzurum-usulu,3,"30 saniye",30,"Bezeleri tepsi büyüklüğünde açıp geniş tencerede tuzlu kaynar suya tek tek 30 saniye atın, ardından soğuk suya alıp temiz beze yatırın; tereyağının yarısını eritip tepsiyi yağlayın."
yogurtlu-sebzeli-bulgur-salatasi-ankara-usulu,1,"10 dakika",600,"Bulguru sıcak suyla 10 dakika ıslatın, sos kesilmesin diye ılık malzemeyle birleştirin."
ahududulu-eton-kup-ingiltere-usulu,1,"3 dakika",180,"Soğuk kremayı pudra şekeriyle 3 dakika yumuşak tepe olana kadar çırpın, doku bozulmasın diye ölçüyü değiştirmeden ilerleyin."
anzac-biscuits,5,"5 dakika",300,"Bisküvileri tepside 5 dakika bekletin, dağılmadan sertleşsin."
kluski-leniwe-polonya-usulu,2,"4 dakika",240,"Kluski Leniwe hamurunu unlu tezgahta 4 dakika yoğurun, yüzeyi pürüzsüzleşsin."
lorlu-dereotlu-krep-macar-usulu,2,"2 dakika",120,"Macar Lorlu Dereotlu Krep krep hamurunu 2 dakika çırpın, un topakları açılsın."
otlu-tava-artvin-usulu,2,"2 dakika",120,"Otları ince doğrayıp 2 dakika tavada soldurun."
pastirmali-eriste-omleti-kayseri-usulu,3,"2 dakika",120,"Pastırmayı 2 dakika çevirin, pastirmali-eriste-omleti-kayseri-usulu akışı için."
clafoutis,6,"10 dakika",600,"Kalıpta 10 dakika bekletin, keserken custard akmasın."
patatesli-lorlu-corek-agri-usulu,2,"5 dakika",300,"Patatesli Lorlu Çörek hamurunu unlu tezgahta 5 dakika yoğurun, yüzeyi pürüzsüzleşsin."
cuban-flan,6,"30 saniye",30,"Kalıbı ters çevirmeden önce tabanı 30 saniye ılık suda bekletin."
date-tahini-cake-orta-dogu-usulu,6,"10 dakika",600,"Keki kalıptan çıkarmadan önce 10 dakika bekletin, hurmalı doku otursun."
peynirli-kavrulmus-misir-ekmegi-samsun-usulu,4,"2 dakika",120,"Peyniri 2 dakika eritip servis edin."
dorayaki-japon-kafe-usulu,6,"5 dakika",300,"Sandviçleri streçle sarıp 5 dakika bekletin, kenarlar birbirine yapışsın."
pumpkin-scone-avustralya-usulu,2,"2 dakika",120,"Malzemeleri 2 dakika toparlayın."
kornisonlu-yumurta-salatasi-kocaeli-usulu,6,"8 dakika",480,"Yumurta karışımını 8 dakika buzdolabında bekletin, kornişon tuzu sosa dengeli geçsin."
koruklu-marul-salatasi-tekirdag-usulu,6,"3 dakika",180,"Marulu sosladıktan sonra 3 dakika içinde tabağa alın, koruk asidi yaprakları yumuşatmasın."
limonlu-zeytinli-bulgur-kisiri-mersin-usulu,7,"5 dakika",300,"Kısırı 5 dakika kapalı bekletin, limon ve zeytin aroması bulgura geçsin."
mamzana-tekirdag-usulu,6,"5 dakika",300,"Köz sebzeleri doğradıktan sonra 5 dakika süzgeçte bekletin, tabakta acı su birikmesin."
marakes-kayisili-kuskus-salatasi,6,"5 dakika",300,"Kayısıyı sosla 5 dakika bekletin, kuruluk yumuşasın ve baharatı içine alsın."
maydanozlu-peynir-ezmesi-tekirdag-usulu,6,"10 dakika",600,"Peynir ezmesini 10 dakika serinde bekletin, yağ ve baharat dengeli yayılsın."
nar-eksili-kisir-salatasi-orta-dogu-usulu,6,"5 dakika",300,"Bulguru nar ekşisiyle 5 dakika bekletin, sumak ve ekşi tat tanelere yerleşsin."
roma-cacio-e-pepe-klasik,1,"2 dakika",120,"Spagettiyi tuzlu kaynar suda paketten 2 dakika kısa haşlayın."
new-york-lox-bagel-tabagi,2,"2 dakika",120,"Krem peyniri yumuşaması için 2 dakika oda sıcaklığında bekletin."
aperol-spritz,4,"5 saniye",5,"nazikçe 5 saniye karıştırın, portakal dilimi ile süsleyin."
cevizli-kabak-mucver-burdur-usulu,2,"20 saniye",20,"Rendelenmiş kabağın suyunu avuç içinde 20 saniye sıkın."
cingene-pilavi-aydin-usulu,4,"5 dakika",300,"Salatayı 5 dakika dinlendirip servis edin, lor ve yeşillik aynı ısıya gelsin."
osaka-takoyaki-ahtapotlu,4,"3 dakika",180,"Takoyaki kalıbını yağlayıp 3 dakika dumanı çıkmadan ısıtın."
corti-asili-bulgur-pilavi-tunceli-usulu,4,"2 dakika",120,"Bulguru tencereye katıp 2 dakika karıştırın."
yorkshire-toad-in-the-hole,6,"20 dakika",1200,"Fırın kapağını ilk 20 dakika açmayın."
denizli-yen-boregi,1,"60 dakika",3600,"Mısır unu, instant maya, ılık su ve tuzu yoğurun. Üzerini örtüp ılık ortamda 60 dakika mayalandırın, hamur iki katına çıksın."